Provincia,Canton,Delito,Desconocido,Hombre,Mujer,Total
ALAJUELA,ALAJUELA,ASALTO,91,1011,402,1504
ALAJUELA,ALAJUELA,HOMICIDIO,3,79,5,87
ALAJUELA,ALAJUELA,HURTO,197,911,658,1766
ALAJUELA,ALAJUELA,ROBO,257,570,422,1249
ALAJUELA,ALAJUELA,ROBO DE VEHICULO,68,1001,200,1269
ALAJUELA,ALAJUELA,TACHA DE VEHICULO,45,361,159,565
ALAJUELA,ATENAS,ASALTO,3,20,9,32
ALAJUELA,ATENAS,HOMICIDIO,0,7,0,7
ALAJUELA,ATENAS,HURTO,13,45,25,83
ALAJUELA,ATENAS,ROBO,22,69,37,128
ALAJUELA,ATENAS,ROBO DE VEHICULO,3,83,18,104
ALAJUELA,ATENAS,TACHA DE VEHICULO,0,17,9,26
ALAJUELA,GRECIA,ASALTO,8,51,28,87
ALAJUELA,GRECIA,HOMICIDIO,1,7,0,8
ALAJUELA,GRECIA,HURTO,17,118,72,207
ALAJUELA,GRECIA,ROBO,17,133,89,239
ALAJUELA,GRECIA,ROBO DE VEHICULO,6,122,41,169
ALAJUELA,GRECIA,TACHA DE VEHICULO,0,17,3,20
ALAJUELA,GUATUSO,ASALTO,4,10,5,19
ALAJUELA,GUATUSO,HOMICIDIO,0,1,0,1
ALAJUELA,GUATUSO,HURTO,7,59,55,121
ALAJUELA,GUATUSO,ROBO,6,55,39,100
ALAJUELA,GUATUSO,ROBO DE VEHICULO,1,18,4,23
ALAJUELA,GUATUSO,TACHA DE VEHICULO,0,6,1,7
ALAJUELA,LOS CHILES,ASALTO,1,51,39,91
ALAJUELA,LOS CHILES,HOMICIDIO,2,11,3,16
ALAJUELA,LOS CHILES,HURTO,9,132,78,219
ALAJUELA,LOS CHILES,ROBO,39,101,83,223
ALAJUELA,LOS CHILES,ROBO DE VEHICULO,0,40,12,52
ALAJUELA,LOS CHILES,TACHA DE VEHICULO,2,8,1,11
ALAJUELA,NARANJO,ASALTO,4,33,8,45
ALAJUELA,NARANJO,HOMICIDIO,1,0,1,2
ALAJUELA,NARANJO,HURTO,6,48,16,70
ALAJUELA,NARANJO,ROBO,8,51,44,103
ALAJUELA,NARANJO,ROBO DE VEHICULO,6,55,6,67
ALAJUELA,NARANJO,TACHA DE VEHICULO,1,7,8,16
ALAJUELA,OROTINA,ASALTO,14,98,33,145
ALAJUELA,OROTINA,HOMICIDIO,1,7,0,8
ALAJUELA,OROTINA,HURTO,14,111,91,216
ALAJUELA,OROTINA,ROBO,38,87,81,206
ALAJUELA,OROTINA,ROBO DE VEHICULO,5,87,15,107
ALAJUELA,OROTINA,TACHA DE VEHICULO,1,42,24,67
ALAJUELA,PALMARES,ASALTO,6,33,14,53
ALAJUELA,PALMARES,HOMICIDIO,0,3,0,3
ALAJUELA,PALMARES,HURTO,8,50,24,82
ALAJUELA,PALMARES,ROBO,4,30,27,61
ALAJUELA,PALMARES,ROBO DE VEHICULO,0,30,7,37
ALAJUELA,PALMARES,TACHA DE VEHICULO,1,11,3,15
ALAJUELA,POAS,ASALTO,1,25,17,43
ALAJUELA,POAS,HOMICIDIO,0,4,0,4
ALAJUELA,POAS,HURTO,3,31,16,50
ALAJUELA,POAS,ROBO,18,53,28,99
ALAJUELA,POAS,ROBO DE VEHICULO,2,55,13,70
ALAJUELA,POAS,TACHA DE VEHICULO,1,3,3,7
ALAJUELA,RIO CUARTO,ASALTO,2,16,1,19
ALAJUELA,RIO CUARTO,HOMICIDIO,1,1,0,2
ALAJUELA,RIO CUARTO,HURTO,2,17,11,30
ALAJUELA,RIO CUARTO,ROBO,6,24,8,38
ALAJUELA,RIO CUARTO,ROBO DE VEHICULO,3,19,4,26
ALAJUELA,RIO CUARTO,TACHA DE VEHICULO,0,4,0,4
ALAJUELA,SAN CARLOS,ASALTO,38,210,98,346
ALAJUELA,SAN CARLOS,HOMICIDIO,11,21,4,36
